title,category
윤석열 당선인  젤렌스키 대통령에  종전 후 이른 시일 내 만나자 ,Politics
정순택 대주교  윤 당선인 접견 명동밥집 배식 봉사,Politics
김은혜     무료급식소 봉사 김건희  취임식 참석 가능성   종합 ,Politics
   정순택 대주교 차담회 후 밥집 배식 봉사,Politics
 총리직 고사  안철수  참여 않겠다 지방선거도 불출마 ,Politics
안철수  총리직 고사  내각 참여 않는 게   부담 더는 것 ,Politics
안철수  총리 안한다  내각 참여 않겠다 ,Politics
안철수    뜻 펼치도록 내각 참여 않겠다  총리직 고사  종합 ,Politics
고민정  김정숙 여사  옷값 논란 에  흠집 내겠다는 뻔한 수법 ,Politics
고민정  김정숙 여사  옷값 논란 에  너무나 뻔한 수법 ,Politics
고민정  김정숙 여사  옷 종종 리폼  도덕성 흠집 내겠다는 뻔한 수법 ,Politics
고민정  김정숙 옷값 논란 뻔한 수법 논두렁 시계 떠오른다 ,Politics
인수위  민주당 설득해 임대차  법 개정  민간  활성화 ,Politics
 인수위  민주당 설득해 임대차 법 개정할 것 ,Politics
임대사업자  혜택 부활,Politics
인수위    설득해 임대차 법 개정 민간임대 활성화도 ,Politics
국산 고체 추진 우주로켓 첫 시험발사 성공 정찰위성 대량 발사 길 열렸다,Politics
국내 기술 개발  고체 연료 우주발사체  첫 시험발사 성공,Politics
전장연  공개 사과  요구에 이준석  명시적으로 요구하라 ,Politics
지하철시위 대신 삭발식 전장연  이준석에  갈라치기 멈춰라 ,Politics
     ICBM 여전히 분석 중   핵 미사일 능력 우려 ,Politics
    억원 미사일 돼 허공으로  굶주림과 맞바꾼 김정은의 욕심,Politics
외교부의 작심 호소  통상 없어 팔 다리 묶인 채 경주 ,Politics
 통상 이관  승기 굳히려는 외교부     통상 없는 외교  팔다리 묶인 것 ,Politics
김정숙 여사  표범 브로치   억원  오해와 진실은,Politics
청와대  김정숙 여사 옷 논란에  사비로 썼다   내역 공개될까 뉴스룸 예고,Politics
문대통령  불교  국민들께 희망의 등불 갈등 넘어 통합으로 ,Politics
 대통령  조계종 종정 추대 법회 참석 현직 최초,Politics
인수위 만난 여성단체  여가부 폐지  효율적 대안 있다면 찬성 ,Politics
한국노총  성차별 느끼는 국민 설득이 먼저  여가부 폐지 반대,Politics
 교각살우  거주권 후퇴  민주당   임대차 법 폐지  인수위 언급에 반발,Politics
윤호중  김정숙 여사 옷값   논두렁 시계  같은 가짜뉴스 ,Politics
