title,category
유승민 경기지사 출마 결심 오후  시 기자회견,Politics
민주당 안민석 의원  경기도지사 출마 선언 당내 세번째,Politics
 차기총리 인선 속도 김동연  경기지사 출사표 뉴스포커스 ,Politics
김동연    일 지방선거 출마 선언 민주당 경기지사 경선  파전,Politics
국회의원 최고 부자 전봉민      억 진선미는   억 고위 공직자 재산공개 ,Politics
국힘 강기윤 재산    억   년새   억    땅 부자 도 상위권,Politics
 친박  윤상현  년새    억 늘었다 민주당 다주택자  명 남아,Politics
코로나 위기 속에도 국회의원      지난해 대비 재산 증가,Politics
   변수  소멸로 총리 인선 속도 한덕수 유력 검토,Politics
 단독  초대 국무총리 후보 한덕수 유력  이제  의 시간 ,Politics
  빠지자 총리 인선 가속도 인준 앞두고 민주당 눈치보기,Politics
윤 당선인측  총리 후보군 압축  내달 초   직접 발표할 듯,Politics
 대통령  매곡동 사저   억에 매각   억 차익,Politics
 대통령  재산   억 천 신고 임기 중 생활비   억,Politics
문대통령  양산 매곡동 사저   억원 매각 차익   억,Politics
사저 돈 대려   억 빌린 김정숙 여사      지인인지 못 밝힌다 ,Politics
 측   교과서 논란에  역사왜곡 단호히 대처   엔  금도 지키라 ,Politics
   역사 왜곡 에 박홍근     역사 인식 빈곤  김은혜  금도 지키라 ,Politics
문 대통령  모든 아이는 출생 신고돼 국가 보호 받아야 ,Politics
문대통령  모든 아이는 출생 신고돼 차별없이 국가 보호 받아야 ,Politics
김기현  전기요금 인상 윤 정부에 부담 떠넘기기 치졸한 계획 ,Politics
김기현  민주당  국민 선택받은  정부 발목잡기만 골몰  맹폭,Politics
김어준  김정숙 옷값  퇴임이라 만만  김건희한테도 그럴거냐 ,Politics
김어준  김건희한테도 그럴 거냐  김정숙 옷값  곧 퇴임이라 만만한가 ,Politics
국방부  용산 청사 이전  단계적 계획 수립 중 ,Politics
   용산 이전 예산 단계적 승인 제안 내일  측과 실무 협의,Politics
이준석  서울시민 볼모 잡지 말라는 것이 혐오  전장연      선 아냐 ,Politics
이준석 직격  전장연       선 아니고 옳은 것도 아니다 ,Politics
박주선  박근혜  최고 예우로 취임식 초청  전장연도 고려 ,Politics
박주선  김건희 여사 취임식 참석 당연 전장연 초청도 고려 ,Politics
 인수위  대우조선 사장  알박기   비양심적 몰염치한 처사 ,Politics
  로 버티는 부실기업  그곳을  낙하산 놀이터  삼은 여권,Politics
대구 교통 지도 확 바뀐다   외곽순환고속도로 서대구역 완공,Politics
 대구 천지개벽하겠다  홍준표  대구시장 출마 선언,Politics
김정숙 여사 옷값 의혹에    특활비 감사원 지적  건도 없다 ,Politics
   특활비 김정숙 여사 옷값 무분별한 의혹제기 유감 ,Politics
 공천 관리자들이 왜   김영환 전 의원 경선 요청 역풍 지속,Politics
 다른 곳 출마하려던 분이   충북도지사  외인  등판 논란,Politics
김남국  서울시장 어려운 선거 송영길에 희생 요청 ,Politics
 김남국  송영길 서울시장 차출설에  주소 이전 포함 오늘 내 메시지 낼 수도  출발 ,Politics
 청와대 한은 총재 인사  협의 추천 없었다  주간  전 ,Politics
 회동 일정 다시 잡기로  주간  전 ,Politics
 국민통합 이루는 게 중요  주간  전 ,Politics
 정치교체 이뤄갈 것  vs  정권교체 뜻 모았다  주간  전 ,Politics
TV영역 무한확장  즐기는 TV 시대로 ,Economic
삼성 새 TV 세계에 공개한 한종희   캄 테크 로 삶의 질 높여드릴 것 ,Economic
삼성전자      년 TV 신제품 공개 한종희  삶의 질 향상시킬 것 ,Economic
삼성전자가 강조한  캄 테크  중심에는 네오 QLED 종합 ,Economic
 광주 학동 참사  현대산업개발에 영업정지  개월,Economic
광주 사고  현산   개월 영업정지,Economic
 학동 철거 건물 붕괴사고  현대산업개발  개월 영업정지,Economic
 광주 사고  HDC   개월 영업정지 하도급 추가 처분은 ,Economic
내일부터 가스요금 인상 가구당 월    원,Economic
가스요금   월  월 두 달 연이어 올린다,Economic
내일부터 전기 이어 가스요금도 인상 평균       가구당 월    원,Economic
 전기   가스요금 인상 가구당 월평균  천 원 더 부담 ,Economic
한국은행  지난해 사상 최대    조 순이익 법인세만    조 냈다,Economic
