,Unnamed: 0,title,category
0,0, 단독  미 일   국 합동군사훈련 거듭 제안  정부  수용 불가 ,Politics
1,1, 경기도지사   은 접었다 유승민  출마냐 은퇴냐  금주 결정 ,Politics
2,2, 당 복귀  선택한 안철수  이준석과  불편한 동거 는 어떻게 ,Politics
3,3,여운국 공수처 차장  김진욱 처장 제대로 보좌 못한 책임 느낀다 ,Politics
4,4,탁현민  김정숙 옷값 논란에  특활비 공개할 거면 입법해 국회  검찰도 하자 ,Politics
5,5,이준석의 섬뜩한 경고   에 민감했던     내돈내산  아니면 옷 다 반납해야 ,Politics
6,6,   새정부 초대 총리  배수 압축 한덕수 유력,Politics
7,7,김재원   최고위원  권영진 불출마 회견장 방문 이유는 ,Politics
8,8,  청와대   검찰  특활비 비밀주의  판박이,Politics
9,9,    정각발사 다탄두 핵실험       군사합의 파기 나설 수도 ,Politics
10,10,황교익     검찰총장 때 쓴 특활비    억 사용처 공개하라 ,Politics
11,11,  졌잘싸 에 갇히면 답 없다  민주당 토론회서 쓴소리,Politics
12,12,인수위 출범   일  여기저기서  불통  논란  이유는,Politics
13,13, 뉴스플러스  대선   일 만에야 만난 문재인 윤석열  어떤 얘기가 ,Politics
14,14,울산시장 출마 국힘 후보들 공약 발표 잇따라  해상풍력사업 허상 ,Politics
15,15,이준석    특활비에 민감했던 문 대통령  반례 나오지 않길 ,Politics
16,16,인수위  김진욱 공수처장 거취 표명 바라는 국민들 있어 ,Politics
17,17,탁현민  김여사 옷에 특활비 안써 개사료도 직접 사 ,Politics
18,18, 당 지지기반 넓히겠다 는      지방선거 후 차기 당권 노릴 듯,Politics
19,19,두건 쓰고 앞치마 두르고    밥 푸며  구슬땀 ,Politics
20,20, 단독  미 일   국 합동군사훈련 거듭 제안  정부  수용 불가 ,Politics
21,21,전용기   역사왜곡 침묵  당선인 이순신 장군께 곤장 맞을 일 ,Politics
22,22, 브랜드 확립 실패한 이재명  대선 패배 쓴소리 쏟아졌다,Politics
23,23,홍준표   김정숙 여사 옷값 논란 에  대통령 월급으로 사야지요 ,Politics
24,24, 다른 곳 출마하려던 분이   충북도지사  외인  등판 논란,Politics
25,25, 더뉴스  안철수  총리 대신  당 복귀  선택   지방선거 시험대 ,Politics
26,26,조성은  김정숙  옷값 논란  저격  샤넬백 줄서서 사는 나라서 고깝고 우스워 ,Politics
27,27,이준석  전장연에 사과할 일 없다 고민정 의원 참고하시라 ,Politics
28,28,    김정숙 옷값 논란  에   의 의도적 가짜뉴스 논두렁시계 시즌  ,Politics
29,29,인수위    인 밤  시로 거리두기 완화 요청  정점서 내려갈 때 완화해야  종합 ,Politics
30,30,북한 매체  인수위원 실명 거론  윤석열 정권은 제 의 MB될 것 ,Politics
31,31, 샤넬백 줄서는 나라에서 왜 문제   친여 인사들 김정숙 옷값 옹호,Politics
32,32,박지현  부동산 정책실패 책임자 물의 전력자 공천 금지  종합 ,Politics
33,33,인수위  감소세면 거리두기 완화  영업시간 제한 폐지 주문 종합 ,Politics
34,34, 더뉴스    정부 초대 총리는 누가될까    역대 초대 총리 인선 배경,Politics
35,35,  이예람 중사 유가족 만난 윤미향  어머니들이 절규하지 않도록  ,Politics
36,36,민주당  임대차  법 폐지 축소에  교각살우 범할 우려  반대,Politics
37,37,인수위  코로나 확산 정점 지나면 영업시간 제한 즉시 철폐  종합 ,Politics
38,38, 정치   안철수  총리직 고사  당선인 부담 덜 것 ,Politics
39,39,출마 이야기 나눈 윤호중 김동연    발표는  조만간 ,Politics
40,40, 의 불심 달래기  조계종 종정 추대 법회에 현직 대통령 첫 참석,Politics
41,41,전용기   역사왜곡 침묵  당선인 이순신 장군께 곤장 맞을 일 ,Politics
42,42,김정은 보란듯     고체연료 우주발사체  시험발사 성공,Politics
43,43,안철수  총리 안 맡겠다  이르면 내달  일 인선 발표,Politics
44,44,이준석  사과할 일 없다  vs 장애인 단체   호선도 탄다 ,Politics
45,45,민주  임대차 법 폐지 축소는 교각살우 원칙적으로 지켜져야 ,Politics
46,46, 김정숙 옷값  때리기 이준석 가세  무엇이 두려워 감추는가 ,Politics
47,47, 대통령  불교  국민에 희망의 등불 밝혀  갈등 봉합 나섰다,Politics
48,48,  바이든도  대화 불응  북한과 장기전 태세,Politics
49,49,두손 모은 문 대통령  화합 통합의 시대로 나아가길 ,Politics
50,50,고체 우주발사체  정찰위성 중장거리 탄도미사일 활용,Politics
51,51,스텔스 무인기 고출력 레이저무기 등 국내 개발 추진,Politics
52,52,장영하 변호사 이기인 시의원 성남시장 출사표,Politics
53,53, 하루    명 온다  명동성당 무료급식소서  밥퍼 봉사 한  당선인,Politics
54,54,민주  대선 패배 진단   졌잘싸 프레임 갇히면 답 없어  쓴소리,Politics
55,55,   조계사 찾아  갈등 대립 넘어  화합 통합 시대 나가야 ,Politics
56,56,권영진  전격 불출마 선언 국민의힘 대구시장 경선 구도  요동 ,Politics
57,57,전장연  이준석 보란 듯  호선 타겠다      내탓 하겠다  고민정 참고하길 ,Politics
58,58,   고체연료 우주발사체  첫 시험발사 성공 국산 정찰위성 발사에 청신호,Politics
59,59,   부대 출신 유명 방송인 최영재 유튜버 박은하 씨 육군 예비군 홍보대사 위촉,Politics
60,60, 대통령  우리 사회  갈등 대립 넘어 화합 통합 시대로 나아가야 ,Politics
61,61, 뽀뽀  밑에 반응 왔나  친이재명 유튜버 성희롱 발언 논란,Politics
62,62, 대통령  조계종  종정 추대 법회  참석    현직 대통령 최초,Politics
63,63, 측   교과서 논란에  앞으로 논의  민주  결기 어디갔나 ,Politics
64,64,경찰   김정숙 여사 옷값 논란  수사 착수 서울청 반부패수사대 배당,Politics
65,65,     지방선거  국힘     민주     접전 수도권 PK 박빙 접전,Politics
66,66, 쇄신 공염불  광주 지선 예비후보 음주전력 다수  삼진아웃  종합 ,Politics
67,67, 당선인  정순택 대주교와 차담  명동밥집서 배식봉사도,Politics
68,68,안철수  코로나 보상  현금지원 외 대출 세액공제도 ,Politics
69,69,  국정  잘할 것         용산 이전 시기 조절한다면 찬성       ,Politics
70,70,여야   중대선거구제  이견차 재확인 민주  결행  단독처리 시사,Politics
71,71, 데이터뉴스 떠나는  보다 낮은   지지율,Politics
72,72, 나꼼수  김용민  이재명 부부에 그랬듯  김정숙 악마화  전략 ,Politics
73,73,홍준표   영부인 옷값  의혹에  대통령 월급으로 사야죠 ,Politics
74,74,임대차 법 날 세우는 민주  교각살우 우려  여소야대 국회서 난항 예고,Politics
75,75,윤호중 김동연 오찬 회동 민주당  지방선거 수도권 전략 고심,Politics
76,76, 속보  인수위  감소세면 거리두기 완화해야  영업시간 제한 폐지 주문,Politics
77,77,명동 무료급식소서 밥 푸는      후보때 한  봉사활동 약속  지켰다,Politics
78,78,인수위  거리두기 완화가 맞아 영업시간 폐지 주문 ,Politics
79,79,국내 최대 규모 장애인단체  전장연 도넘었다 불편 겪는 시민에 죄송 ,Politics
80,80, 단독  김정숙 한복  벌  구두   켤레  전액  만원권 동행한 보좌관이 지불 ,Politics
81,81,문대통령  불교  국민들께 희망의 등불 갈등 넘어 통합으로 ,Politics
82,82,안철수  정점 확인 후 거리두기 완화해야  중대본에 요청,Politics
83,83,이준석  김정숙 여사 옷값 논란에  특활비 지출 사례 나오면 다 반납하고 가야 ,Politics
84,84,이준석 논란에 이재명 소환한 허은아   고민정   도 장애갖고 있다 ,Politics
85,85,김진애  서울시장에 도전장  무난하게 가면 무난하게 진다 ,Politics
86,86,이준석     김정숙 옷값 모두 사비  해명에  반례 하나 나오면  ,Politics
87,87, 총리직 고사  안철수 행정 경력보다 당 지지기반 확보 우선,Politics
88,88, 음주운전 전과  범  광주 시의원 예비후보 논란에   민주  공천 심사서 걸러질 것 ,Politics
89,89,   개딸  언급하며  X딸 생각했나   친명  유튜버 발언 논란,Politics
90,90,돌아온 김진애  서울시장 도전  난 정치색 옅고  여의도 정치인  냄새도 없다 ,Politics
91,91,김기현  원내대표 조기사퇴 새정부 위한 선공후사  총리설 무관  임대차 악법  개정돼야 ,Politics
92,92, 뉴스플러스  권영진 대구시장   선에 나가지 않겠다 ,Politics
93,93,이준석  전장연   호선 시위  예고에  타지 말라  경고한다 ,Politics
94,94, 경제 안보 총괄  총리 골격 잡은  당선인 한덕수 전 총리 급부상,Politics
95,95, 천안함 함장  부하들 수장시켜  막말 조상호  독립기념관 감사 임명  논란 ,Politics
96,96, 단독 화성시의회  편법으로 의장 개인 보좌관 채용 의정팀 소속으로 채용  비서실 총괄업무 맡아,Politics
97,97,   역대 처음으로 종정 추대법회 참석    민주당과 갈등도 고려 ,Politics
98,98,윤석열 당선인  젤렌스키에  종전 후 가급적 이른시일에 만나자 ,Politics
99,99,민주  대선 평가 토론회   졌잘싸  프레임에 갇히면 답 없어 ,Politics
100,100, 더뉴스  인수위  폐지 축소    존폐 갈림길 선  임대차  법 ,Politics
101,101,제주 강정마을 회장  강정항서 막걸리 한 사발   대통령  그 날 기대 ,Politics
102,102,질문 바꾸니 달라진 여론 온도 용산 이전 시기조절만 하면 긍정      ,Politics
103,103,안철수  내각 참여 안 하겠다    대주교 차담,Politics
104,104,김기현  임대차  법 민주당이 날치기 처리   악법 빨리 고쳐야 ,Politics
105,105,나꼼수 김용민  김정숙 여사 악마화  깡패들의 오랜 수법 ,Politics
106,106,이준석  김정숙 옷 사비 구입  하나라도 아니면 다 반납해야 ,Politics
107,107,  당선인 측  김건희  취임식 때 공식 인사 검토 중 ,Politics
108,108,문 대통령  퇴임후 강정 노을 보며 막걸리 할 날 기대 ,Politics
109,109,침묵 깬 친노 조기숙  김정숙 여사  검소하고 소탈  서도 동대문 액세서리 문의 ,Politics
110,110,아무리 개선 의지 강해도   안 바뀌면   한 발짝도 못 움직인다,Politics
111,111,윤호중  김정숙 여사 옷값 논란에   논두렁 시계  같은 가짜뉴스 ,Politics
